image,snr_db,semantic_psnr,semantic_ok,ldpc_psnr,ldpc_ok,semantic_header_psnr,semantic_header_ok,reencode_psnr,reencode_ok,latsmooth_psnr,latsmooth_ok,gradent_psnr,gradent_ok,tv_psnr,tv_ok,watermark,alpha
kodim08,-5.0,13.061045343662252,1,0.0,0,12.963241397050428,1,13.111564639956237,1,13.111564639956237,1,13.111564639956237,1,0.0,0,component,0.1
kodim08,-4.5,13.442754322153023,1,0.0,0,13.734286705335826,1,0.0,0,13.874036872016553,1,13.874036872016553,1,0.0,0,component,0.1
kodim08,-4.0,13.329181231298982,1,0.0,0,14.192720110017582,1,13.975253128970584,1,13.975253128970584,1,13.975253128970584,1,0.0,0,component,0.1
kodim08,-3.5,14.27196451320317,1,0.0,0,14.487162400067987,1,14.539899087402265,1,14.539899087402265,1,14.539899087402265,1,0.0,0,component,0.1
kodim08,-3.0,14.615564907577859,1,0.0,0,15.036694974946283,1,14.99556269460303,1,14.99556269460303,1,14.99556269460303,1,0.0,0,component,0.1
kodim08,-2.5,15.44613178382676,1,0.0,0,15.120218017861468,1,15.962991294346356,1,15.962991294346356,1,15.962991294346356,1,0.0,0,component,0.1
kodim08,-2.0,16.433759313714102,1,16.371042939937645,1,16.50646793187761,1,16.157555104111918,1,16.157555104111918,1,16.157555104111918,1,0.0,0,component,0.1
kodim08,-1.5,17.190548801392854,1,17.17609885692559,1,17.17968275254052,1,16.94944089868538,1,16.94944089868538,1,16.94944089868538,1,0.0,0,component,0.1
kodim08,-1.0,17.306045833326692,1,17.416044997760608,1,17.83586692753613,1,17.48240649896301,1,17.48240649896301,1,17.48240649896301,1,0.0,0,component,0.1
kodim08,-0.5,18.49913058108562,1,18.801115113549816,1,18.90674461643136,1,19.130878000506065,1,19.130878000506065,1,19.130878000506065,1,0.0,0,component,0.1
kodim08,0.0,20.294588421550166,1,18.8308450097302,1,19.6590107165582,1,20.30476725865398,1,20.30476725865398,1,20.30476725865398,1,0.0,0,component,0.1
kodim08,0.5,20.72266572016084,1,20.75708547395262,1,20.36042890877762,1,20.631419106756983,1,20.631419106756983,1,20.631419106756983,1,0.0,0,component,0.1
kodim08,1.0,21.736129768029834,1,22.065039068214848,1,20.97929842147256,1,21.246925758177866,1,21.246925758177866,1,21.246925758177866,1,0.0,0,component,0.1
kodim08,1.5,22.210581910865578,1,22.505681895676894,1,21.736890533061985,1,21.65170174192452,1,21.65170174192452,1,21.65170174192452,1,0.0,0,component,0.1
